,Mean,2.5q,97.5q
v_subj(friend_friend).22,-2.0424734590397797,-2.1319391356565123,-1.9215367392151985
v_subj(friend_friend).23,-2.0395796618658855,-2.122170707827379,-1.9144035680229705
v_subj(friend_friend).24,-2.037302142103605,-2.1144604891965453,-1.911622276450531
v_subj(friend_friend).25,-2.0393272712128874,-2.1202738907690373,-1.9164242990619575
v_subj(friend_friend).26,-2.045383285748395,-2.134246125205446,-1.92771064851628
v_subj(friend_friend).27,-2.0495451182590916,-2.152398854110539,-1.9342230037035018
v_subj(friend_friend).28,-2.0418392163571575,-2.1259025853943014,-1.9189116689808348
v_subj(friend_friend).29,-2.0378704025058196,-2.113323572219951,-1.9135851694849677
v_subj(friend_friend).30,-2.040624463131805,-2.124855481328275,-1.917526700945692
v_subj(friend_friend).31,-2.041110680465056,-2.123386347937376,-1.9229759424622042
v_subj(friend_friend).32,-2.040418306238079,-2.121844330060123,-1.9194849538754482
v_subj(friend_friend).33,-2.03869452863157,-2.116823307170259,-1.9172811529717457
v_subj(friend_friend).34,-2.040572584591547,-2.1262487223189757,-1.9154916138784106
v_subj(friend_friend).35,-2.0412877274175685,-2.12516567299109,-1.9228441709151731
v_subj(friend_self).0,3.4281633696408504,3.2560015405460474,3.579617636453798
v_subj(friend_self).1,3.4361020875572144,3.2669862888245693,3.590637558096531
v_subj(friend_self).2,3.4333255495508337,3.263146161617176,3.585920058636089
v_subj(friend_self).3,3.4365105388328554,3.2690126821163448,3.5978892289591777
v_subj(friend_self).4,3.441216639133673,3.2759762738652456,3.60151197288911
v_subj(friend_self).5,3.4349647778573624,3.264612038701491,3.5932115495655816
v_subj(friend_self).6,3.4385113727257823,3.268608130764592,3.6009841323641805
v_subj(friend_self).7,3.4330238687160985,3.2601638542001323,3.5818741365232016
v_subj(friend_self).8,3.433754112013207,3.2647997721927995,3.5874612528611527
v_subj(friend_self).9,3.4369408511818333,3.2694193853955515,3.59153847366067
v_subj(friend_self).10,3.4318183010981738,3.2572639232443135,3.584643919727437
v_subj(friend_self).11,3.4379764574301674,3.2705810157589905,3.591584768986362
v_subj(friend_self).12,3.438942457598747,3.272611053605402,3.595792839439608
v_subj(friend_self).13,3.4363439219528606,3.267076655852234,3.5943004694035454
v_subj(friend_self).14,3.438986033296708,3.272468852867228,3.598006604569981
v_subj(friend_self).15,3.4386708279851903,3.2729613365326147,3.594027203751516
v_subj(friend_self).16,3.435599614373983,3.265754897681649,3.58946534221017
v_subj(friend_self).17,3.43709008038752,3.2659590720514675,3.595836621273425
v_subj(friend_self).18,3.433668610395505,3.2604712104465343,3.5871398116688185
v_subj(friend_self).19,3.4351564142873845,3.2661812854899805,3.5867839183671766
v_subj(friend_self).20,3.438113671882409,3.26858994518345,3.597058391824539
v_subj(friend_self).21,3.4362536341870995,3.267777691212024,3.5955941702367467
v_subj(friend_self).22,3.4361439987075646,3.2642409641077306,3.5933314038162334
v_subj(friend_self).23,3.43351448780974,3.2616082190409883,3.5853333786659003
v_subj(friend_self).24,3.438222191208026,3.269628313184742,3.5936412776827042
v_subj(friend_self).25,3.4375071215363966,3.268271723214307,3.592296348726813
v_subj(friend_self).26,3.4363159237001417,3.2660829604429233,3.596922744355098
v_subj(friend_self).27,3.4310461110131985,3.2548259524225744,3.5857973893986217
v_subj(friend_self).28,3.4368406720547897,3.265073547631061,3.592862233531721
v_subj(friend_self).29,3.4348616606795255,3.263536506255155,3.589187958898153
v_subj(friend_self).30,3.4387346839210524,3.2683683612284224,3.5971857761469597
v_subj(friend_self).31,3.440131170874974,3.2759784239273886,3.601793485819278
v_subj(friend_self).32,3.4389497580092705,3.271769010249009,3.5976814295258484
v_subj(friend_self).33,3.4354013525710343,3.263036446037143,3.593536778240553
v_subj(friend_self).34,3.4367806266829,3.269820593121422,3.5962402213392086
v_subj(friend_self).35,3.4367010752074307,3.269258507702678,3.5921794198177697
v_subj(self_friend).0,-2.3129771471026745,-2.4261033195130652,-2.1734693126881233
v_subj(self_friend).1,-2.3116999354076273,-2.4249992951870807,-2.170171797445209
v_subj(self_friend).2,-2.3064693346776215,-2.4150180690498204,-2.1552257882996364
v_subj(self_friend).3,-2.3073848568298776,-2.414675465700198,-2.1608077530459497
v_subj(self_friend).4,-2.3104863575375143,-2.4209103157389706,-2.1650007327532617
v_subj(self_friend).5,-2.307486150219185,-2.413342511423187,-2.1628753060970687
v_subj(self_friend).6,-2.3078502419006632,-2.412906607238686,-2.1602533062229523
v_subj(self_friend).7,-2.31056386057071,-2.4268233980410514,-2.1724769678425373
v_subj(self_friend).8,-2.3093029737242334,-2.418314456224829,-2.1642943555126415
v_subj(self_friend).9,-2.3087471588633197,-2.416940310202441,-2.160979123086737
v_subj(self_friend).10,-2.310192239291515,-2.416240048135558,-2.1687646128039866
v_subj(self_friend).11,-2.3038041254531305,-2.4049681894567585,-2.1522536367854204
v_subj(self_friend).12,-2.3082247932908633,-2.4132850886811488,-2.164414237573891
v_subj(self_friend).13,-2.3084202045440723,-2.4208842292819504,-2.1625953853136934
v_subj(self_friend).14,-2.3102031997387353,-2.418719714422879,-2.1662422824683403
v_subj(self_friend).15,-2.30754523121557,-2.414149050920631,-2.1628439229842833
v_subj(self_friend).16,-2.310049349318985,-2.423703351463836,-2.1641692180962573
v_subj(self_friend).17,-2.308761055378329,-2.4168287770032095,-2.164423138908438
v_subj(self_friend).18,-2.3121672353420806,-2.4250423110787795,-2.1730062837539337
v_subj(self_friend).19,-2.3149588994826513,-2.4310380004554974,-2.1776262234577026
v_subj(self_friend).20,-2.30491881418863,-2.4086583308874134,-2.153197780641057
v_subj(self_friend).21,-2.3098218935902137,-2.418727245533834,-2.167464812471104
v_subj(self_friend).22,-2.3089821611559005,-2.4169215338825567,-2.162758612177346
v_subj(self_friend).23,-2.3050868292823985,-2.408303088833332,-2.1574912854378074
v_subj(self_friend).24,-2.3148716103266627,-2.430192721245665,-2.181131734795206
v_subj(self_friend).25,-2.3094490736303626,-2.4180288040379776,-2.1701724172061785
v_subj(self_friend).26,-2.3132325473392927,-2.4275500284059848,-2.1761299653870863
v_subj(self_friend).27,-2.311965111413442,-2.423062450351626,-2.171760601438593
v_subj(self_friend).28,-2.311496186011807,-2.4209341366830066,-2.1703987312450996
v_subj(self_friend).29,-2.3085549570454877,-2.416848919142444,-2.162094459732169
v_subj(self_friend).30,-2.3083096696691903,-2.418436296628191,-2.1629846255799117
v_subj(self_friend).31,-2.3096390523744246,-2.4224222344119877,-2.1686738974848727
v_subj(self_friend).32,-2.310353202817054,-2.421643497524831,-2.167174133253768
v_subj(self_friend).33,-2.3096853203236014,-2.4214154616768915,-2.1675899596559733
v_subj(self_friend).34,-2.308801915794954,-2.418269336559467,-2.1614205011147556
v_subj(self_friend).35,-2.308781538769132,-2.416263085876752,-2.1655734710649788
v_subj(self_self).0,2.5020537700771763,2.3771542092301052,2.577277059030801
v_subj(self_self).1,2.502651718851248,2.378594189054547,2.577840550165542
v_subj(self_self).2,2.5005802933140027,2.3735153270264626,2.5752264726406087
v_subj(self_self).3,2.499410353327098,2.372209442898584,2.5735300049842387
v_subj(self_self).4,2.506808385625,2.3881241181758517,2.5875802369648433
v_subj(self_self).5,2.5061954639999975,2.389802511346577,2.5828196282098563
v_subj(self_self).6,2.505408007734857,2.386874831325126,2.5831568387638515
v_subj(self_self).7,2.505363732783307,2.382727891913006,2.5854657694313232
v_subj(self_self).8,2.5013511725690267,2.3768311912487627,2.576180091626509
v_subj(self_self).9,2.5001218684835234,2.3746821988471454,2.5733597133932125
v_subj(self_self).10,2.4990882750594827,2.3683067210195667,2.5699507764734353
v_subj(self_self).11,2.5099134930043543,2.3967788150371665,2.5937205269127306
v_subj(self_self).12,2.5050683385426744,2.3850065122352726,2.5813017927918667
v_subj(self_self).13,2.5105793863812145,2.3992782335177862,2.5936456001734167
v_subj(self_self).14,2.5060895672265833,2.386422789921964,2.5839560603944043
v_subj(self_self).15,2.498091955589479,2.3665290686385827,2.5714686476139286
v_subj(self_self).16,2.503404383433044,2.3847995544407303,2.5748989405586147
v_subj(self_self).17,2.503441770346074,2.383074589726703,2.5789702697983974
v_subj(self_self).18,2.5054245694452457,2.383951988222323,2.579913309139302
v_subj(self_self).19,2.50082183677581,2.3753761886164266,2.573667204319919
v_subj(self_self).20,2.4999956505766887,2.3751654676720233,2.5726073305316235
v_subj(self_self).21,2.498633169497682,2.372062088561684,2.5710900556175447
v_subj(self_self).22,2.5056652145680305,2.3862262031171446,2.5838271254075154
v_subj(self_self).23,2.5055857804009074,2.389296274106126,2.5812377232494406
